"country","Nobellaureates","Laureates_per_10million","Population2018"
"Faroe Islands",1,202.065,49489
"Saint Lucia",2,111.317,179667
"Luxembourg",2,33.88,590321
"Switzerland",27,31.601,8544034
"Sweden",30,30.052,9982709
"Iceland",1,29.605,337780
"Austria",22,25.138,8751820
"Norway",13,24.284,5353363
"Ireland",11,22.898,4803748
"Denmark",13,22.592,5754356
"United Kingdom",133,19.429,66573504
"Israel",13,15.379,8452841
"Timor-Leste",2,15.105,1324094
"Hungary",13,13.417,9688847
"Germany",109,13.245,82293457
"United States",383,11.721,326766748
"Netherlands",21,11.707,17084459
"France",70,10.664,65233271
"Finland",5,9.021,5542517
"Belgium",10,8.697,11498519
"Cyprus",1,8.41,1189085
"Trinidad and Tobago",1,7.285,1372598
"Canada",25,6.765,36953765
"New Zealand",3,6.316,4749598
"Bosnia and Herzegovina",2,5.708,3503554
"Australia",14,5.651,24772247
"Czech Republic",6,5.647,10625250
"Latvia",1,5.182,1929938
"Poland",19,4.986,38104832
"Slovenia",1,4.805,2081260
"Croatia",2,4.802,4164783
"Macedonia",1,4.796,2085051
"Liberia",2,4.121,4853516
"Lithuania",1,3.476,2876475
"Italy",20,3.373,59290969
"Tibet",1,3.02,3310836
"Japan",28,2.202,127185332
"Belarus",2,2.116,9452113
"Romania",4,2.043,19580634
"Costa Rica",1,2.019,4953199
"Palestine",1,1.979,5052776
"Portugal",2,1.943,10291196
"Greece",2,1.795,11142161
"South Africa",10,1.742,57398421
"Spain",8,1.724,46397452
"Russia",23,1.598,143964709
"Bulgaria",1,1.421,7036848
"Hong Kong",1,1.346,7428887
"Guatemala",2,1.16,17245346
"Argentina",5,1.119,44688864
"Chile",2,1.099,18197209
"Azerbaijan",1,1.008,9923914
"Algeria",2,0.476,42008054
"Ukraine",2,0.454,44009214
"Taiwan",1,0.422,23694089
"Colombia",2,0.404,49464683
"Egypt",4,0.403,99375741
"South Korea",1,0.195,51164435
"Yemen",1,0.346,28915284
"Ghana",1,0.339,29463643
"Venezuela",1,0.309,32381221
"Peru",1,0.307,32551815
"Morocco",1,0.276,36191805
"Iraq",1,0.254,39339753
"Turkey",2,0.244,81916871
"Iran",2,0.244,82011735
"Mexico",3,0.229,130759074
"Kenya",1,0.196,50950879
"Myanmar",1,0.186,53855735
"Republic of the Congo",1,0.119,84004989
"Vietnam",1,0.104,96491146
"Pakistan",2,0.1,200813818
"Ethiopia",1,0.092,109224410
"India",11,0.081,1354051854
"China",9,0.064,1415045928
"Bangladesh",1,0.06,166368149
"Nigeria",1,0.051,195875237
